"test","replications","elapsed","relative","user.self","sys.self","py"
"palindrome in R (1)",10000,0.5140000000000002,1.002,0.5109999999999997,0.0020000000000000018,0.16863784200000698
"palindrome in R (2)",10000,0.516,1.006,0.5129999999999999,0.0030000000000000027,0.16302407100001526
"palindrome in R (3)",10000,0.5129999999999999,1.0,0.512,0.0,0.16225808199999525
"palindrome in R (4)",10000,0.5150000000000006,1.004,0.5129999999999995,0.0010000000000000009,0.1622709280000212
"palindrome in R (5)",10000,0.516,1.006,0.5129999999999999,0.0,0.1628715209999676
